start	end	text
2225920	2231920	account as well. So you need to keep restating the situation, but it's more like with a support
2231920	2237920	worker, they would develop an understanding over time and only, uh, present stuff that's relevant.
2240960	2246400	If you were to get testimonials like that, and that was your main source of data, you'd probably
2246400	2252320	need a lot of them, wouldn't you? Yeah. Yeah. So that's probably the limiting factor here is that,
2252800	2257600	um, unless there there's a good source and it's readily available,
2259200	2263920	it's probably unrealistic to ask you to produce the event you would need to come up with any kind
2263920	2273920	of good answers to it. So, um, in that case, we'd, we'd need to try and I suppose just make best use
2273920	2287440	of the stuff that is available. Um, yeah. Um, yeah. So, um, the information part is definitely
2287440	2297440	need to improve the, you said the testimony part, uh, if they're just like, not, I don't,
2297440	2306400	I don't get so many data should I still use this? Well, one thing we could think about doing is to
2307600	2317280	kind of think about it as a, as a kind of a feasibility or, um, uh, of the tool for maybe
2317280	2324320	one particular user group. So we could try and get like, I don't know, 10 testimonials or something
2324320	2333280	that are all from people in a similar area or maybe similar gender, and then just, um,
2333280	2339440	kind of test whether or not if we were playing the part of somebody in a similar role,
2339440	2345680	would we get better responses if we had those testimonials available? Um, and that would just
2345680	2351120	allow us to kind of, yeah, test whether that testimonial approach would be something that was
2351120	2355760	worth pursuing if we did have resources to do that or whether, you know, the responses
2355760	2363600	actually aren't much better if you do have that data. Um, that could be one, one, um, way to go.
2370000	2374560	The localization of things is, is another important aspects. Yeah.
2374880	2381760	So that's something to think about. How, how do you do that?
2382560	2386240	Is that something that can be picked up in the scraping or is it something that
2386240	2389520	would need someone to manually tie things that
2393600	2399360	if I ask us about an action rather than just what's available. So how do I get support?
2399360	2410480	Hmm. The other thing with a testimonial as well is it would probably include things like multiple
2410480	2417040	factors like housing, finance, children, that sort of thing that the chatbot could use to
2417040	2423600	structure answers and say, um, here's areas that people commonly need to consider. Is there any
2423600	2430480	of these that you would, um, you know, well, that's all good. It's all the finance stuff
2430480	2436640	there and all that. Don't know how much we're just getting it all from, but just go up again.
2436640	2440720	I think the format is broken or something. Where's my question?
2442960	2447600	How do I get support? So it's telling me there about immediate safety. It's the contact
2447600	2453600	guardians, other ones, domestic violence service, seek refuge in shelter. That's all there.
2454880	2459120	Haven though, if you're homeless or need emergency, the Haven can provide shelter.
2461040	2464240	The Haven. Never heard that in Galway is it? Yeah.
2467840	2475120	It's Haven Galway. H-A-V-E-N. I'm going to address here Boundary Avenue.
2475840	2480080	It's an apartment that you can rent at booking.com.
2485120	2491120	It's a apartment? One Boundary Avenue.
2491120	2505760	Meals are in Project Burger, Car of Haven, Family Hope.
2511920	2513120	Chop Car of Day Center.
2513120	2525760	There's Car of Haven, Family Hope, and that's what it's referred to.
2528080	2530240	But again, that's not much use to you if... No.
2531840	2538720	This is going to react to all the legal advice. That's actually not bad. If you ask actions
2539360	2545840	rather than give me, you get more of a... So what was your restaurant there?
2545840	2549680	I just asked, how do I get support? How? How? Okay.
2554000	2556160	Rather than what's available, you're going to get everything.
2559840	2565200	There's a few sites that we've come across. How do I go to refuge?
2565200	2570640	Pretty straightforward. I don't see why they'll give me that.
2578640	2580720	They'll tell you why you would go to a refuge.
2582320	2586160	That's actually a good question as well. Why would I go to a refuge?
2586160	2591040	I'm just going to put it out to the loo for a second.
2593280	2593680	Sorry.
2599040	2602000	There's a lot of information which is generated for that one.
2602960	2605040	I'm not destroying it now.
2614240	2617920	Is this perhaps a PhD for you, or is it a master's or...
2617920	2620960	Master. In artificial intelligence, is it?
2621520	2622160	In what?
2622160	2622960	Artific... AI?
2623520	2629200	No, it's data analytics. It's very similar to AI. We have a lot of same class.
2629200	2629600	Okay.
2629600	2630100	Yeah.
2633520	2635440	This is law school overnight now.
2635440	2636400	It's never stopped.
2638400	2639280	Can I stop it?
2640000	2644400	Yeah. Is something wrong happened?
2647760	2649280	Right. It's some...
2651760	2656080	There are not some meaningful words?
2656080	2656320	No.
2656320	2657200	No meaningful?
2657200	2657920	No.
2657920	2659680	Okay. Something is wrong here.
2661760	2662320	Oh, come on.
2669440	2671280	I think something is wrong here.
2676560	2680880	I think it's in your loop, the software.
2680880	2690160	I cannot hear.
2690160	2694960	Okay. The website is in freeze, I think.
2700960	2705280	Okay. I killed the website, totally.
2710880	2714160	Okay. This is the...
2717280	2718800	You okay for talking to me, man?
2718800	2719360	Yeah, I'm okay.
2729360	2733920	The best model, there's something wrong in the best model.
2734880	2740400	It's... Continue to give all the nonsense words.
2741120	2742480	All right. Okay. Yeah.
2744720	2746880	I don't know what's wrong here. See?
2747680	2748320	Right. Okay.
2748320	2751520	It's even freeze the web page.
2752320	2755760	Okay. What's the question you asked?
2755760	2756880	What was the question?
2756880	2767680	How do I go to a refuge here?
2767680	2768560	Maybe a typo?
2769120	2773120	No, but here my rag for this is good.
2773120	2779040	Okay. In terms of the...
2780720	2785280	You mentioned those things that you would want to know for each thing.
2785760	2788880	It was the... How? What?
2789840	2792320	The with the why. That's the best of the first in those questions.
2793360	2793680	Right.
2793680	2795200	Something very short and snappy.
2795200	2796720	How do I go to a refuge?
2796720	2798960	What's available to me in a refuge?
2798960	2800560	Where do I get counselling?
2802000	2803760	Tell them that's it. Where would I get counselling?
2806720	2808640	So you get everything here now again.
2808640	2809680	How do you spell counselling?
2809680	2810480	C-O-U-N.
2810480	2813600	C-O-U-N.
2823360	2830400	Because we can ask the model to provide answers in particular formats as well.
2830400	2839040	So if the why or whatever was always important, then you could incorporate that into the responses.
2839040	2845200	And maybe that's something that is worth doing because everything you suggest,
2847840	2850560	somebody would probably want an explanation to...
2852400	2855120	Why would they do that in the first place and what would they get out of it?
2857040	2863760	So knowing what they would want from those responses will help us structure things better.
2869040	2873200	Where do I get counselling?
2879040	2883440	Okay, this is the first time the body is quicker than this one.
2884880	2890000	Oh no, I think it's the incident situation again.
2890960	2891760	It won't stop.
2895120	2896720	I think there's some bug there.
2899040	2902720	It won't stop.
2904480	2911440	And then the page freeze.
2921120	2923920	So what's your in-project look like here?
2924800	2938240	So, if we get this to a state where it's providing sufficient answers,
2940160	2944160	your end product could take different forms.
2944160	2947520	It could be something on a website, it could be something in a mobile app.
2948400	2956640	So the end product, as I imagine it is, it's a mobile app that you can use in discrete mode.
2956640	2960880	And it's just a simple interface like this.
2960880	2966160	You ask questions, but it provides all of the information that you would get from
2968160	2973200	the kind of app that we were looking at before, but it provides it in a way that
2973440	2978800	makes the information easier to access.
2978800	2983760	But also, one thing that we talked about is that depending on the situation of the person,
2983760	2990480	you could customize the way what information is presented and what's not.
2992160	2996560	The bot can do that as well.
2996560	2999280	It can customize things to people's situations.
3000160	3008160	Rather than being kind of clunky that it just reorders boxes to show you what information.
3008160	3014160	I see that as stuff that keeps popping up here in relation to physical abuse.
3015040	3016880	It's more about just coercive control.
3016880	3018960	That's the main thing about domestic violence.
3018960	3021520	How do I know that I'm in a coercive control relationship?
3021520	3034640	No, I mean, I feel it's something wrong in my program.
3034640	3036400	Oh, I forgot again.
3038480	3039840	No, they're okay.
3040880	3044000	No, it can never stop now.
3044000	3045600	It's like in a loop or something.
3047520	3050320	They actually gave good information at the start of that.
3050320	3051200	Yeah, yes.
3051200	3053040	They did actually give good information.
3054880	3056400	I don't know that lady.
3056400	3057840	She rang and it was me.
3057840	3058720	She was contacted.
3059360	3060240	She rang me.
3060240	3063840	It was quarter past four on a Tuesday evening.
3063840	3064400	She rang me.
3065040	3066160	She said she'd been looking up.
3067760	3070400	She said she could all have kept coming up with Tuesday.
3070400	3071760	So she wouldn't give her name.
3071760	3073440	She wouldn't give her kids names or nothing.
3073440	3077120	She wouldn't know what is available for her right now.
3077120	3079120	He's not home till 8 o'clock this evening.
3079120	3079760	He's at work.
3080640	3081760	She says, I'm sitting here.
3081760	3084480	My two guys are bleeding and he's after hitting one of the children.
3084480	3085600	I don't want to stand by that.
3086160	3087680	I need to get out of here.
3087680	3089280	Do I call the guards or who do I call?
3089920	3091760	I said, well, are you safe when he comes home?
3091760	3092960	So I know she says I'm petrified.
3093760	3094960	I said, have you anywhere to go?
3094960	3095680	She said, no.
3095680	3097280	Do you want me to create a place for you to go?
3098000	3099120	And then I told her about Moila.
3099120	3099760	What's Moila?
3099760	3101520	I said, well, look, we've got four hours.
3101520	3104320	Do you want to have a look at Moila on the website yourself and see what you think?
3105040	3107040	She still wouldn't give me her name or address or anything.
3107040	3107760	So she went off.
3107760	3108960	She looked at Moila.
3109360	3112160	I told her, I'm going to stay on the phone because I wouldn't let her go.
3112160	3114960	So she got back and she goes, that's where I need to go.
3115520	3116480	Can you make that happen?
3117360	3121040	I said, I can't, but give me a minute to make sure there's a bed available for you.
3121040	3121520	Yeah.
3121520	3123040	And there were random, there was.
3123680	3127360	And then basically they said, we're going to contact the guards.
3127360	3129840	I said, well, I don't even see no dates.
3129840	3132080	She doesn't want to give me anything because she hears I'm too slow.
3132640	3134960	But yeah, she's going to, she arranged, she arranged.
3134960	3138640	She met me at the local center shop over in Winhamstown.
3139360	3140800	A very small little dinky shop.
3140800	3146880	And there she was herself, just the children and their suitcases at the side of the road
3146880	3150880	waiting to know if I got a puncture or God forbid anything happened, you know,
3151520	3155760	but pick them up, brought them in and still wouldn't give me her name.
3155760	3157440	But she wasn't from Glynamada.
3157440	3158880	She got texted to Glynamada.
3159600	3160320	She was from Glyn.
3161520	3162720	I found out afterwards.
3162720	3167200	So yeah, so now she's, she's open to our service and she will answer any of those.
3167200	3169120	But she said, I just needed to get out.
3169920	3170880	I didn't care where I went.
3170880	3171840	I just needed to get out.
3172640	3177200	And then when you're in a place of safety, then all of the other stuff starts coming in.
3177920	3180240	Eventually I feel safe here.
3180240	3181120	This is what I want.
3181920	3184400	How do I remain keeping myself safe?
3184400	3185440	Yeah, yeah.
3185440	3187600	Do I get support to go to court?
3187600	3189520	Who helps me if I go to court?
3189520	3190160	Yeah.
3190160	3192080	Do, how do I access legal aid?
3193040	3197200	There is, I know that you're kind of saying you want more of an interface kind of thing,
3197200	3200880	but it is a lot of people would be asked to direct questions.
3201440	3204640	Like, as I said, they're like, how do I access legal aid?
3204640	3205440	Yeah, yeah.
3206320	3206560	Yeah.
3207520	3211200	That's not what you're, I know that we're kind of coming at it from different angles.
3211200	3216080	No, that is what we're trying to find out is what would people want to ask?
3216080	3216560	Yeah.
3216560	3218000	What they want responses for.
3218000	3224640	So like a lot of my ideas for what it would look like come from my limited understanding
3224640	3227760	from just working on the last project.
3227760	3234000	So we're trying to come to a better understanding of, you know, what it should look like and
3234000	3236000	how people would want to interact with it.
3236640	3240320	And then the kind of results that they would really need to get back
3240320	3242320	from it that would be most relevant.
3242320	3246720	I think it'd be very good at the very start to get them to a place where they're safe.
3246720	3249680	Then they'd forget about it until they want to move on.
3249680	3250400	Yeah.
3250400	3252720	And then that's when they'll come back and help me the first time,
3252720	3253920	they might help me this time.
3253920	3254800	Yeah, yeah.
3255600	3258320	So getting them to a place where they're safe.
3258320	3258640	Yes.
3258640	3259760	Is that the primary?
3259760	3260720	That's the main thing.
3260720	3263920	That's the main thing and the main reason for this as well.
3263920	3264240	Yeah.
3264240	3264960	Okay.
3264960	3266320	Where they feel safe.
3266320	3273040	And you came up with some websites that we hadn't come across before, but is there like a
3274000	3280000	a list of even just for Galway and people that you would deal with,
3280640	3284480	is there like a list of websites or organizations?
3284480	3287920	Oh yes, I came in with lots of them.
3287920	3289120	You wrote some of his papers.
3289120	3289600	Yeah, yeah.
3290320	3294480	Tell me what you want and what I can get for you and we'll see where we can go from there.
3302240	3302800	Websites.
3303920	3306480	I've never heard of that Carb Haven Family Hub now.
3308800	3311440	Is that a residential place?
3314880	3315600	Carb Haven.
3316880	3318480	Supported temporary accommodation.
3319760	3323200	Ten families experience homelessness in Galway City.
3323200	3324160	Oh, it's homelessness.
3324160	3326720	That's that domestic violence relation to the club.
3328720	3330480	Unless I suppose you're homeless as a result.
3330480	3330880	Okay.
3330960	3331520	Okay.
3334640	3336080	We started to get in there nowadays.
3340560	3341120	It's awful.
3342160	3348320	When you see the the care and then when you're a male, the one question I said,
3348320	3351280	I ignore would you prefer a female staff member to come collect you?
3352800	3353360	Yeah, so.
3356720	3357600	This is a great thing.
3357600	3359600	If you get lost growing, you'll be nervous.
3359680	3366800	Yeah, so really it's a chatbot and you know we're using it here on a laptop and
3367680	3373520	you know if we got it in a position that it was useful, you could embed it in anything.
3373520	3378800	So, you know, if you thought it was a good idea to turn it into an app once we've
3379360	3381760	got something that doesn't have everything.
3381760	3382880	We even have the server though.
3382880	3383280	Yeah.
3383280	3384240	But we'll shake it out.
3384560	3385060	Yeah.
3387280	3388640	We have that for the whole server.
3388640	3389680	I didn't get the server.
3394560	3396880	That thing I sent out to you wasn't your completion.
3398000	3398720	Don't see this.
3398720	3402400	The answer since that's a sit on to you as well.
3403200	3404880	I didn't go into the code myself.
3404880	3407840	I couldn't even do where to go with that.
3409360	3409600	Yeah.
3410960	3412240	It was it was complete.
3412240	3413200	It was completed.
3413200	3413920	Yeah.
3414880	3420560	Two little things that you had to finish and then that's what it all does well.
3420560	3422240	I was disappointed how that ended up.
3422240	3422740	Yeah.
3428160	3434240	Okay, so is there anything, so I think a list of websites that we obviously haven't included.
3434240	3437840	Yeah, or maybe like some PDF file.
3438720	3443680	But like the store this information.
3445920	3446420	No, no.
3446960	3448080	The website is now.
3451120	3454080	No, I mean, because like you can scrape it once you have two websites.
3454080	3454640	Yeah, yeah.
3454640	3462080	I mean, this information are all from the website.
3462160	3471680	I mean, if they are all if they some of them also like some PDF file, some like legal file, some.
3472880	3477520	So so like documents that you might provide people with information, is it?
3478640	3483440	No, I mean, like the government will have some documents.
3484000	3484500	Okay.
3484980	3488340	No documents about these things.
3489300	3491940	Like, do I need that?
3492820	3497780	Do I need to extract information from that?
3498820	3504500	So I'm thinking just there's a lot of stuff on the app that you could pull from it.
3504500	3506420	There was a lot of good information that was on that.
3507140	3507540	Yeah.
3507540	3509220	If you can open the code, I don't know.
3510020	3512100	Yeah, that's your baby.
3512100	3512600	Yeah.
3513160	3515320	There was a question sent you that already.
3517400	3520520	The previous app had a database.
3520520	3521080	Yeah, yeah.
3521080	3521580	Yeah.
3521960	3525000	There was a lot of information on that that would fit into that as well.
3525560	3526060	Yeah.
3526120	3526620	Yeah.
3526840	3527340	Okay.
3528520	3530200	So yeah, that's that's something that.
3530200	3530700	Yeah.
3531960	3536280	Even the headings of it, if you create just a question around the headings that were on it.
3536920	3537420	Yeah.
3537900	3541020	I think we have a list of all those are broken down.
3541740	3542780	That's where it is.
3542780	3543280	Yeah.
3543280	3546540	All the websites associated with each and they're broken down.
3548540	3549040	There.
3549260	3550140	That's where they are.
3550140	3550640	Yeah.
3551340	3551840	Yeah.
3553340	3554540	I'll have a look at that again.
3554540	3555040	Yeah.
3555580	3558220	That's what it says to me for doing there.
3558220	3558940	It's there.
3558940	3559440	Yeah.
3559660	3560160	Okay.
3560300	3560800	Yeah.
3561180	3563660	I just broke it down sections or the housing sections.
3564540	3565040	Yeah.
3565200	3568960	There's a lot of contact details over there with a lot of services on this.
3568960	3569460	Yeah.
3569460	3572240	Don't know why I don't have it on, but it's the haven I've ever heard of that.
3572240	3574240	Yeah, yeah, yeah, yeah, yeah.
3574240	3577840	And we've probably had some of that kind of how or what.
3577840	3578640	Yes, good idea.
3578640	3579600	It was all that.
3579600	3581760	How do you know you're in a vital relationship?
3581760	3582260	Yeah.
3582400	3582900	Yeah.
3582960	3586960	And I know that that was a questionnaire, but they could become questions for that as well.
3588160	3588660	Yeah.
3588720	3590480	The more questions you give it the better.
3590480	3591280	Yeah, yeah, yeah.
3591280	3591780	Yeah.
3594400	3596160	What about testimonials?
3596880	3599040	I think that would be useful to try and get some...
3599040	3600960	I can follow up with them while I get...
3600960	3601460	Yeah.
3601460	3605280	Now, what they'll give me is like, like you're talking about testimonials of a...
3606720	3610160	I'm talking about testimonials of like four or five lines and that's all you'll get now.
3610160	3610660	Okay.
3613120	3614000	Yeah, no, that's probably...
3614000	3615360	In the testimonial books...
3616720	3619840	You want the testimonials that gonna tell you...
3621440	3622240	What worked for them.
3622240	3624240	You want a three or four page answer.
3624240	3625360	What worked for you.
3625360	3625860	Yeah.
3626080	3626580	Yeah.
3626800	3631760	So that then that's kind of knowledge then that can be extracted that, you know,
3632320	3636480	these services were important in this situation, that kind of thing.
3638800	3644320	So, yeah, if you kind of can get any of those sort of following up anyway...
3644320	3644820	Yes.
3645040	3646400	Not, we'll just have to...
3646400	3648560	That's enough to see what's going back.
3648560	3649060	Yeah.
3649440	3649940	Okay.
3650820	3653700	If you can take those questions that are on that,
3654580	3658180	what you would up there, the tangent there, all these questions.
3658180	3661540	If you can get these off that, send them on to me as well.
3661540	3662040	Right.
3662040	3666020	I can ask a few of the victims, the survivors that we have.
3666020	3666520	Yeah.
3666520	3668180	A few of the questions in relation to that.
3668180	3668680	Yeah.
3668980	3669480	Yeah.
3669480	3669980	Okay.
3670220	3670720	Yeah.
3670820	3671540	That could be.
3671540	3672040	Yeah.
3672580	3674820	If you can remember them or you can just get them off that.
3674820	3675320	Yeah.
3675780	3676280	Okay.
3676660	3677160	Yeah.
3677160	3678100	I'll have to think about that.
3678100	3678600	Yeah.
3678820	3679320	That's it.
3679320	3683720	Whatever you want from the thing and all it can do is go and ask them.
3683720	3684220	Yeah.
3684220	3685000	That's the main thing.
3685000	3695080	And I think that the next step then is keep working on it and we'll play around with the
3695080	3700360	models themselves and the output they produce and at some point we might go to you or get
3700360	3704840	the information again and just kind of show you some different options that we've come
3704840	3708760	up with for responses and just see which ones make sense and which ones don't.
3708760	3709260	Yeah.
3709480	3711480	I'll bring one of my colleagues with me today.
3711480	3713080	I tried to bring her today.
3713080	3717400	She couldn't have got a new worker and her previous worker today was, she was just the
3717400	3719400	best she finds a poor person for too long.
3719400	3720120	Oh right.
3720120	3720620	So.
3720760	3721260	Yeah.
3721260	3722760	She would have been very useful to have.
3722760	3723260	Yeah.
3723260	3724760	So I will bring her with me the next time.
3724760	3725260	Yeah.
3725260	3725760	Okay.
3725760	3726260	Yeah.
3726260	3726760	Yeah.
3726760	3727260	Brilliant.
3727260	3728260	That sounds good.
3728260	3728760	Yeah.
3728760	3729260	Yeah.
3729260	3729760	It's okay?
3729760	3730260	Sounds good.
3730260	3730760	Yeah.
3730760	3731260	Nice to meet you.
3731260	3731760	Thanks a million.
3731760	3732260	Adrian.
3732260	3732760	Be in touch?
3732760	3733260	Yeah.
3733260	3733760	Okay.
3733760	3734260	See you later.
3734260	3734760	See you guys.
3734760	3735260	Bye.
3735260	3735760	Have a nice day.
3739320	3739820	Bye.
3769820	3770820	Now I don't know.
3770820	3771320	Yeah.
3771320	3772320	What we need to looks like.
3772320	3772820	Yeah.
3772820	3773320	Yeah.
3773320	3773820	Yeah.
3773820	3774320	Maybe it's useful.
3774320	3775820	Maybe it's not so useful.
3775820	3776320	Yeah.
3776320	3776820	Yeah.
3776820	3777320	But we will see.
3777320	3777820	Yeah.
3777820	3778320	Yeah.
3778320	3778820	I think.
3778820	3779320	Yeah.
3779320	3779820	Definitely.
3779820	3787320	I think we need to test that and maybe that's about having, having another version that
3787320	3792320	has a repository of testimonials included and version that doesn't.
3792320	3793320	Oh yeah.
3793320	3794320	Yes.
3794320	3794820	Yes.
3794820	3796320	That makes any difference.
3797320	3803320	Now I think the, the data part, we, we get this back.
3803320	3805320	I need to look into it.
3805320	3806320	Yeah.
3809320	3814320	I think there's some insight there.
3814320	3820320	We'll, we'll have a look at that data from the app again and see if that's something
3820320	3824320	that we can use and it might give us information on websites that then you could add to your
3824320	3826320	scraping tool.
3826320	3836320	Um, and I think then we could look at structuring those responses and the, the main things.
3836320	3846320	So somebody asks a question, say, um, you know, can I get support or what support I
3846320	3847320	can get?
3847320	3855320	And then we probably need a breakdown of what the support is, why the support is relevant,
3855320	3860320	what they can get out of it, what the outcomes are, um, rather than just their query.
3860320	3867320	I think we can augment it to, to try and include those data in the response as well.
3867320	3868320	Yes.
3868320	3877320	And also now the chatbot, the end of chatbot, it will not ask, try, it will not try to ask,
3877320	3884320	like try to narrow down your, the, the, like if you are a man or woman.
3884320	3885320	Yeah.
3885320	3886320	Yeah.
3886320	3889320	So the chatbot should narrow down.
3889320	3897320	But, but, but how deep should the chatbot ask?
3897320	3901320	Like I ask you if a man or woman.
3901320	3906320	And next question, do I need to ask your age range?
3906320	3915320	Like if a young male or old man, then you can ask more detailed question.
3915320	3919320	So how deep should the chatbot ask?
3919320	3929320	I think the only, the only significant difference there is whether they're a child or an adult.
3929320	3930320	Okay.
3930320	3931320	I don't think age would matter beyond that.
3931320	3932320	Okay.
3932320	3933320	Okay.
3933320	3934320	That's, that's easier.
3934320	3935320	Yeah.
3935320	3936320	You don't have to.
3936320	3937320	Yeah.
3937320	3938320	Okay.
3939320	3948320	Like on those websites that you're scraping, um, maybe it's worth trying to pick out tokens
3948320	3960320	for, you know, gender or children versus adults and to try and use that to categorize or classify
3960320	3963320	some of the information and who it's relevant for.
3963320	3967320	And those could give you things then that might be follow-up prompts or things that
3967320	3974320	you can emphasize in the responses that, um, you know, if there's stuff that's just for
3974320	3980320	children, if there's stuff that, um, is for men specifically, then those could be things
3980320	3984320	that you could, yeah, bring out more in the responses.
3984320	3985320	Okay.
3985320	3986320	Okay.
3986320	3996320	Then, um, do you mean like before I put these things into the knowledge base, I do these
3996320	3997320	things before?
3997320	3998320	Yeah.
3998320	3999320	Maybe.
3999320	4001320	Like children or adults.
4001320	4002320	Yeah.
4002320	4005320	But that's, okay.
4006320	4017320	And then, okay, I will, um, try to find if some other project use this, this thing, because
4017320	4024320	from my understanding, like the ritual part, they should already do this.
4024320	4037320	Like if you said, I'm a, I'm a children, I'm a child, and this, uh, the embedding will,
4037320	4046320	will already trust from this sentence into like some number.
4047320	4056320	So the, the ritual part, we already try to find all the children part inside of the knowledge
4056320	4057320	base.
4057320	4058320	Yeah.
4058320	4071320	So I don't need to do the classification because it will, for the retrieval, it's, it's already
4071320	4079320	to the classification because the embedded of children and out is definitely different.
4079320	4080320	Yeah.
4080320	4087320	I suppose what might be useful is if the retrieval part, cause if you ask a general question,
4087320	4093320	then you'll get lots of stuff returned in the retrieval part.
4093320	4098320	But if there's particular embeddings with what's returned, it seemed to be relevant
4098320	4104320	to those are things that probably should be accounted for in the response.
4104320	4109320	Even if that's to kind of say that some of this information is to do with children, some
4109320	4112320	of it is to do with adults.
4112320	4117320	Would you like to kind of, you know, enter it down or something like that.
4117320	4123320	So if there's embeddings and stuff that seemed prominent or relevant and they, those could
4123320	4125320	be the subject to follow up questions or.
4125320	4126320	Yeah.
4126320	4128320	That's, that's what I need to do.
4128320	4132320	The follow up questions part.
4132320	4143320	Now I notice these recent models, they will always ask follow up questions.
4143320	4151320	But previously, let's say one years before, they don't ask these follow up questions.
4151320	4152320	Right.
4152320	4157320	So I think they, they, they also notice what you mentioned.
4157320	4164320	Like if they can narrow down the, the, the, the question, they can give better answers.
4164320	4165320	Yeah.
4165320	4166320	Yeah.
4169320	4170320	Yeah.
4170320	4171320	Generally I think that was useful.
4171320	4172320	Did you find it useful?
4172320	4173320	Yeah.
4173320	4174320	Yeah.
4174320	4175320	Okay.
4175320	4176320	Great.
4176320	4178320	I need to incorporate in this.
4178320	4179320	Yeah.
4179320	4180320	Yeah.
4181320	4187320	Do you want to make some notes on the meeting after you've kind of listened to it back and
4187320	4191320	stuff and just put them on the.
4191320	4193320	Email or Notion?
4193320	4194320	Notion.
4194320	4195320	Yeah.
4195320	4196320	Okay.
4196320	4201320	Put them up there just cause it, it'd be useful just to kind of see those written down.
4201320	4202320	Yeah.
4202320	4207320	I think it's useful for my, the, the paper report.
4207320	4208320	Yeah.
4208320	4209320	Yeah.
4209320	4216320	Actually, I feel regret previously, we have so many meetings.
4216320	4220320	I, I didn't do some enough notes.
4220320	4221320	Oh, right.
4221320	4222320	Okay.
4222320	4223320	Yeah.
4223320	4225320	Well, that was a good time to start.
4225320	4227320	I hope it's not too late.
4227320	4228320	Yeah.
4228320	4229320	Right.
4229320	4230320	Yeah.
4230320	4233320	We'll leave it there cause I have to go.
4233320	4234320	Okay.
4235320	4248320	And we have a meeting in, so yeah, we need to put in a recurring meeting.
4248320	4255320	Um, when would be useful for you to meet again?
4255320	4262320	Um, this week I'll be around on Wednesday, but otherwise it would be online.
4262320	4265320	So maybe if we go to next week.
4265320	4266320	But, but, but what's the point?
4266320	4268320	We meet like two days later.
4268320	4269320	Yeah.
4269320	4270320	That's another point as well.
4270320	4271320	I need to, yeah.
4271320	4272320	Yeah.
4272320	4275320	I got some time to consume all these.
4275320	4278320	Should we go with next Thursday?
4278320	4279320	Yeah.
4279320	4280320	Next Thursday I think.
4280320	4283320	I have one, almost two weeks.
4283320	4284320	Yeah.
4284320	4290320	So if I put a meeting in for 1.30.
4290320	4291320	Okay.
4291320	4292320	Okay.
4292320	4295320	I'll make that a recurring meeting as well.
4295320	4298320	So we don't just run into the same issue again.
4298320	4299320	Oh, okay.
